videoId,title,url,publishedAt
4KE2oaS_fFg,गिधौरी बकरा मंडी बलौदाबाजार भाटापारा छत्तीसगढ़ #gidhouri_bakra_mandi #100nufarming #bakaramandi ,https://www.youtube.com/watch?v=4KE2oaS_fFg,2025-12-30
pj4xhlwTXaA,₹22 किलो मटर! 😱 अदरक और गोभी का भाव देखें 📉 30 Dec 2025 #mandibhav #chhattisgarh #vegitablemarket,https://www.youtube.com/watch?v=pj4xhlwTXaA,2025-12-30
wa812ibcVfI,"धान खरीदी: Chhattisgarh के किसानों के लिए बड़ी खुशखबरी, आदेश जारी | CG Dhan Kharidi Update",https://www.youtube.com/watch?v=wa812ibcVfI,2025-12-25
DAcLVQFBG9A,18 December 2025 आज का टमाटर भाव Dhamdha Mandi Chhattisgarh #Rohansabjiwala #cg #farming ,https://www.youtube.com/watch?v=DAcLVQFBG9A,2025-12-18
jDVtTR__LVk,16 दिसंबर 2025 आज सब्जी टमाटर ताजा थोक मंडी भाव राजनांदगांव सब्जी मंडी। today vegetable prices R.J.N,https://www.youtube.com/watch?v=jDVtTR__LVk,2025-12-16
9KS2nemPrDs,गोभी का मंडी भाव Dhamdha Mandi Chhattisgarh #Rohansabjiwala #cg #farming,https://www.youtube.com/watch?v=9KS2nemPrDs,2025-12-15
O_GLiv82tnI,आज का नीमच औषधि मंडी भाव | सभी औषधीय फसलों के ताजा रेट | Neemuch Oshdhi Mandi Today,https://www.youtube.com/watch?v=O_GLiv82tnI,2025-12-15
C5bMS0HQ9SA,टमाटर हुआ महंगा | भाटापारा सब्जी मंडी छत्तीसगढ़ | आज का मंडी भाव #nishadsabjivlog #vegitablemarket,https://www.youtube.com/watch?v=C5bMS0HQ9SA,2025-12-14
7nbwLKpGUwk,आज मक्का बेचें या रोकें? | Makka Mandi Bhav Today | MP–MH–CG–Chandigarh,https://www.youtube.com/watch?v=7nbwLKpGUwk,2025-12-08
DSrqgdVItaQ,8 December 2025 आज का tamatar भाव आज का Mandi भाव tomoto price today #Rohansabjiwala #cg #farming ,https://www.youtube.com/watch?v=DSrqgdVItaQ,2025-12-08
qcosJfjS47E,दुर्ग छत्तीसगढ़ सब्जी मंडी भाव 7 दिसंबर 2025 Aaj ke Sabzi Wholesale Rates by Goldy Bhai,https://www.youtube.com/watch?v=qcosJfjS47E,2025-12-07
_LG8dzECrSQ,आज का मक्का मंडी भाव 2025 | MP CG Chandigarh Latest Makka Rate Today | किसान जरूर देखें!,https://www.youtube.com/watch?v=_LG8dzECrSQ,2025-12-07
ea4bd4Ohj8g,7 December 2025 आज का tamatar भाव Dhamdha Mandi Chhattisgarh #Rohansabjiwala #cg #farming #food ,https://www.youtube.com/watch?v=ea4bd4Ohj8g,2025-12-07
2qNMNzlh1Qw,4 December 2025 आज का टमाटर भाव Dhamdha Mandi Chhattisgarh #Rohansabjiwala #cg #farming #food ,https://www.youtube.com/watch?v=2qNMNzlh1Qw,2025-12-04
ln4F-ojzT90,10000₹ बिकी आज मीठे नीम की पत्तियां 🤯🤯 ।। औषधि मंडी नीमच ।। Ashish Dhakad ।। Neemuch Mandi Bhav ,https://www.youtube.com/watch?v=ln4F-ojzT90,2025-12-03
wS8TMkXWZWA,शिमला मिर्ची का भाव नागपुर सब्जी मंडी capsicum rate wholesale Nagpur vegetables market 29/11/2025,https://www.youtube.com/watch?v=wS8TMkXWZWA,2025-11-30
rpcF44Bcfdk,29 नवंबर आज का गोभी का भाव गंडई  मंडी छत्तीसगढ़ #Rohansabjiwala #food #tomato #vegetables #mandi,https://www.youtube.com/watch?v=rpcF44Bcfdk,2025-11-29
y_aUk4YSTVA,28 नवंबर आज का टमाटर भाव Dhamdha Mandi Chhattisgarh #Rohansabjiwala #cg #farming #food #tomato,https://www.youtube.com/watch?v=y_aUk4YSTVA,2025-11-28
8ISpWlZ_BTI,20 November 2025 आज का टमाटर का भाव Dhamdha Mandi Chhattisgarh #Rohansabjiwala #cg #farming #food ,https://www.youtube.com/watch?v=8ISpWlZ_BTI,2025-11-20
